tam,threads,total,sequencial,paralelo
9999,8,123.804,8.19649,115.608
9999,8,125.644,8.08693,117.557
9999,8,125.684,8.14337,117.541
9999,8,124.232,8.17494,116.057
9999,8,126.061,8.21387,117.847
5040,8,21.0291,5.03999,15.9891
5040,8,20.6233,5.1402,15.4831
5040,8,20.7454,5.07413,15.6713
5040,8,20.6599,5.11259,15.5473
5040,8,20.9628,5.10487,15.8579
2499,8,16.4474,13.1886,3.25873
2499,8,16.4282,13.2156,3.21258
2499,8,16.4292,13.177,3.2522
2499,8,16.4357,13.2336,3.20212
2499,8,16.4473,13.1636,3.28369
1249,8,2.64619,2.30861,0.337574
1249,8,2.65556,2.31275,0.342807
1249,8,2.64255,2.30363,0.338926
1249,8,2.65655,2.32443,0.332122
1249,8,2.65271,2.31691,0.335802
